datebirth,age,gender,maritalstatus,education,educationfield,department,jobrole,joblevel,totalworkingyears,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,numcompaniesworked,trainingtimeslastyear,performancerating,percentsalaryhike,monthlyincome,monthlyrate,salary,standardhours,overtime,remotework,distancefromhome,businesstravel,attrition,environmentsatisfaction,jobinvolvement,jobsatisfaction,relationshipsatisfaction,worklifebalance
1987,36,F,Single,4,Life Sciences,Other, Manufacturing Director ,2,18,16,5,12,9,2,3,11,4492.84,11681.39,53914.11,Full Time,Yes,No,2,non-travel,No,3,3,2,4,3
1990,33,M,Married,4,Life Sciences,Other, Laboratory Technician ,2,15,15,5,7,1,3,3,12,4492.84,11681.39,53914.11,Part Time,Unknown,Yes,28,travel_rarely,No,2,3,3,2,3
1989,34,M,Unknown,3,Life Sciences, Sales , Sales Executive ,2,15,15,0,7,1,3,3,14,3334.17,8668.83,40010.0,Part Time,Yes,Yes,10,non-travel,No,4,3,3,3,3
1982,41,F,Divorced,1,Unknown, Sales , Sales Executive ,3,22,22,13,5,0,3,3,13,8705.83,22635.17,104470.0,Full Time,Unknown,Yes,37,non-travel,No,3,3,3,4,4
1976,47,M,Unknown,3,Medical, Research & Development , Healthcare Representative ,3,25,17,12,11,2,3,4,23,8339.32,21682.23,53914.11,Full Time,Unknown,Yes,25,non-travel,No,1,3,3,2,3
1970,53,F,Unknown,3,Unknown,Other, Manager ,5,26,14,4,8,4,3,3,11,15943.72,41453.67,191324.62,Full Time,Unknown,Yes,5,travel_rarely,No,3,3,3,4,2
1988,35,M,Single,4,Marketing,Other, Sales Executive ,2,16,15,2,8,0,2,3,14,4492.84,11681.39,53914.11,Part Time,No,No,1,non-travel,No,3,2,1,2,3
1989,34,F,Single,4,Other,Other, Research Scientist ,2,16,16,2,10,1,3,3,14,4492.84,11681.39,53914.11,Full Time,Unknown,Yes,6,travel_rarely,No,1,3,3,3,3
1977,46,F,Divorced,2,Unknown,Other, Sales Executive ,3,24,24,15,7,1,2,4,25,8339.32,21682.23,100071.84,Part Time,No,Yes,1,travel_rarely,No,2,3,1,3,3
1980,43,F,Married,3,Unknown,Other, Manager ,4,22,17,1,9,5,3,4,22,8651.862,34805.33,160640.0,Full Time,Unknown,Yes,16,non-travel,No,4,3,4,3,3
1987,36,M,Married,3,Life Sciences, Research & Development , Laboratory Technician ,1,16,15,10,11,0,4,3,11,2675.0,6955.0,32100.0,Full Time,Unknown,Yes,6,non-travel,No,4,3,4,3,3
1963,60,F,Married,3,Unknown,Other, Sales Executive ,3,22,18,13,11,4,5,3,19,8555.0,22243.0,102660.0,Full Time,No,Yes,28,travel_frequently,No,3,2,1,4,4
1983,40,M,Married,4,Unknown,Other, Sales Executive ,3,20,18,1,12,5,2,4,21,8729.17,22695.83,104750.0,Full Time,Yes,No,5,travel_frequently,No,4,2,1,3,3
1991,32,F,Married,3,Unknown,Other, Manufacturing Director ,2,14,14,6,8,1,3,3,12,5547.204,13351.0,61620.0,Full Time,No,No,4,travel_rarely,No,3,2,3,3,3
1982,41,M,Single,3,Unknown,Other, Laboratory Technician ,1,20,18,2,17,2,3,3,13,3934.17,10228.83,47210.0,Full Time,Yes,Yes,35,travel_rarely,No,3,3,1,3,3
1970,53,M,Divorced,2,Medical,Other, Manager ,4,22,17,15,2,6,3,3,13,12783.92,33238.2,153407.07,Full Time,No,No,2,non-travel,No,3,3,3,3,4
1987,36,F,Single,4,Unknown,Other, Laboratory Technician ,1,18,17,15,14,1,1,3,16,5850.06,6090.75,28111.13,Part Time,Unknown,Yes,16,travel_rarely,Yes,3,4,1,3,3
1977,46,F,Divorced,4,Life Sciences,Other, Research Scientist ,2,23,16,1,7,8,2,4,23,3845.83,9999.17,46150.0,Part Time,Yes,No,8,non-travel,No,4,2,1,1,3
1985,38,M,Married,4,Unknown,Other, Sales Executive ,2,16,15,5,8,0,3,3,15,4492.84,11681.39,53914.11,Full Time,No,Yes,1,travel_rarely,No,4,3,2,1,3
1972,51,F,Single,4,Unknown,Other, Healthcare Representative ,3,23,13,12,8,3,1,4,20,8339.32,21682.23,100071.84,Part Time,Unknown,Yes,1,non-travel,No,1,2,1,3,2
1980,43,M,Married,2,Unknown,Other, Manager ,4,25,25,4,12,1,3,3,12,14132.5,36744.5,169590.0,Full Time,Yes,Yes,26,non-travel,No,3,3,4,4,4
1986,37,F,Single,3,Life Sciences,Other, Research Scientist ,1,17,17,5,7,1,3,3,12,6365.462,6090.75,28111.13,Part Time,No,Yes,1,non-travel,No,4,3,4,2,3
1991,32,F,Married,2,Technical Degree,Other, Sales Executive ,2,14,13,11,9,1,2,3,11,5526.168,11681.39,53914.11,Part Time,Yes,Yes,8,travel_rarely,No,3,2,2,4,3
1985,38,F,Married,3,Unknown,Other, Research Director ,3,15,15,5,11,1,3,3,13,8339.32,21682.23,100071.84,Part Time,Unknown,No,1,non-travel,No,4,3,1,2,3
1977,46,F,Unknown,3,Life Sciences,Other, Manager ,4,23,13,5,1,8,2,3,12,12783.92,33238.2,153407.07,Full Time,No,Yes,3,non-travel,No,3,3,2,4,4
1988,35,M,Married,3,Medical,Other, Sales Executive ,3,15,13,6,0,9,3,3,17,8588.33,22329.67,53914.11,Full Time,Unknown,No,10,travel_rarely,Yes,4,2,1,3,3
1980,43,F,Married,3,Medical,Other, Manager ,5,21,16,6,14,7,2,3,13,15943.72,41453.67,53914.11,Full Time,No,Yes,6,non-travel,No,1,2,3,4,3
1967,56,M,Divorced,4,Life Sciences,Other, Healthcare Representative ,2,24,13,1,9,1,2,3,21,4492.84,11681.39,53914.11,Full Time,No,Yes,1,non-travel,No,3,3,3,1,2
1987,36,M,Divorced,4,Marketing,Other, Sales Executive ,2,15,15,11,11,1,4,4,24,4505.0,11713.0,54060.0,Full Time,No,Yes,15,non-travel,No,4,1,4,1,2
1985,38,F,Unknown,3,Medical,Other, Research Scientist ,2,17,13,1,9,7,3,3,12,5632.528,11681.39,53914.11,Part Time,Unknown,Yes,6,non-travel,No,2,1,4,4,3
1974,49,F,Unknown,4,Medical,Other, Manufacturing Director ,2,16,15,5,11,1,2,3,14,8355.166000000001,11681.39,53914.11,Part Time,No,No,26,non-travel,No,3,3,1,3,2
1984,39,F,Married,4,Life Sciences,Other, Sales Executive ,2,17,15,5,9,4,1,3,14,4918.33,12787.67,59020.0,Full Time,Unknown,Yes,4,travel_rarely,No,4,2,3,3,4
1983,40,M,Married,4,Unknown,Other, Sales Executive ,3,15,12,2,11,7,2,3,11,4433.182000000001,23519.17,108550.0,Full Time,No,Yes,4,non-travel,No,3,2,4,1,2
1987,36,M,Single,2,Unknown,Other, Laboratory Technician ,2,16,13,3,7,8,3,3,16,4928.33,12813.67,59140.0,Full Time,No,Yes,5,non-travel,No,4,3,2,4,4
1986,37,F,Married,5,Unknown,Other, Research Scientist ,2,15,13,10,7,3,2,3,15,6439.592,11681.39,53914.11,Full Time,Yes,No,25,non-travel,No,2,3,3,1,3
1988,35,M,Unknown,4,Unknown,Other, Research Scientist ,2,17,17,11,8,1,3,3,13,5538.33,14399.67,66460.0,Full Time,Unknown,Yes,6,non-travel,No,2,1,4,2,3
1990,33,M,Divorced,3,Life Sciences,Other, Healthcare Representative ,2,15,13,4,7,3,2,4,23,4492.84,11681.39,53914.11,Part Time,No,No,6,travel_frequently,No,3,3,4,3,1
1973,50,M,Married,3,Unknown, Research & Development , Manufacturing Director ,4,22,12,1,5,3,2,3,18,9097.37,30274.83,139730.0,Full Time,Yes,No,24,travel_rarely,No,4,3,3,4,3
1975,48,M,Single,4,Unknown,Other, Healthcare Representative ,3,27,15,4,8,7,3,3,14,11123.194,21682.23,100071.84,Part Time,Unknown,Yes,4,travel_rarely,No,3,2,3,2,3
1979,44,F,Married,3,Unknown, Sales , Sales Executive ,4,11,12,11,11,3,2,3,18,11100.0,28860.0,53914.11,Full Time,Unknown,Yes,28,travel_rarely,No,4,4,4,3,3
1979,44,M,Single,4,Unknown,Other, Research Scientist ,2,21,20,13,17,1,3,4,25,11711.342,11681.39,53914.11,Part Time,Unknown,Yes,29,travel_rarely,No,4,3,4,2,3
1983,40,F,Unknown,1,Unknown,Other, Healthcare Representative ,2,15,12,11,8,5,0,4,20,6633.598,11681.39,53914.11,Part Time,No,Yes,25,non-travel,No,2,4,3,2,3
1989,34,F,Single,4,Unknown,Other, Healthcare Representative ,2,14,14,4,11,1,2,3,11,5572.5,14488.5,66870.0,Full Time,Unknown,Yes,2,travel_rarely,No,3,3,4,4,4
1988,35,F,Unknown,4,Unknown, Research & Development , Healthcare Representative ,2,15,14,2,9,1,5,3,12,4492.84,11681.39,53914.11,Part Time,Unknown,Yes,8,non-travel,No,3,3,3,4,3
1973,50,F,Unknown,5,Life Sciences,Other, Research Director ,3,23,14,1,11,5,3,3,15,11258.144,21682.23,100071.84,Part Time,No,No,17,non-travel,No,4,2,1,3,3
1974,49,F,Unknown,1,Life Sciences,Other, Healthcare Representative ,4,20,15,2,12,2,3,3,19,12783.92,33238.2,153407.07,Full Time,Unknown,Yes,6,non-travel,No,3,2,3,2,3
1985,38,M,Unknown,3,Life Sciences,Other, Research Scientist ,2,19,13,2,9,7,4,3,15,5632.528,10259.17,47350.0,Part Time,No,Yes,1,travel_frequently,No,4,3,4,4,3
1990,33,M,Unknown,3,Unknown,Other, Laboratory Technician ,1,14,14,2,13,1,6,3,18,6227.5,6090.75,28111.13,Part Time,No,Yes,21,non-travel,No,2,4,2,4,3
1976,47,F,Divorced,3,Life Sciences,Other, Manufacturing Director ,3,25,22,14,10,8,4,3,12,8339.32,21682.23,100071.84,Part Time,Yes,Yes,4,travel_rarely,No,3,2,2,3,3
1985,38,F,Divorced,3,Unknown, Research & Development , Research Scientist ,2,20,20,0,7,1,3,3,16,4492.84,11681.39,53914.11,Full Time,Unknown,No,8,non-travel,No,4,2,2,3,3
1986,37,F,Unknown,3,Life Sciences,Other, Research Director ,3,16,16,6,8,1,2,4,25,8339.32,21682.23,100071.84,Part Time,Yes,Yes,10,travel_rarely,No,3,4,4,1,3
1993,30,M,Married,3,Unknown,Other, Healthcare Representative ,2,11,11,10,8,1,3,3,19,6306.63,11681.39,53914.11,Part Time,No,Yes,2,non-travel,No,3,2,4,1,3
1965,58,M,Single,4,Unknown,Other, Sales Executive ,4,38,37,1,8,0,1,3,13,11560.0,30056.0,138720.0,Full Time,Unknown,Yes,18,travel_rarely,No,4,3,3,3,2
1989,34,F,Single,3,Unknown,Other, Manager ,3,14,11,5,8,2,6,3,12,8339.32,21682.23,53914.11,Full Time,Unknown,No,5,travel_rarely,No,3,2,1,4,3
1965,58,F,Married,4,Medical,Other, Healthcare Representative ,3,40,40,15,6,1,3,3,12,8339.32,21682.23,100071.84,Part Time,Unknown,Yes,23,travel_rarely,Yes,4,3,4,4,2
1985,38,M,Divorced,3,Life Sciences,Other, Sales Executive ,3,17,16,5,13,0,6,3,12,8339.32,21682.23,53914.11,Full Time,Unknown,Yes,3,non-travel,No,1,3,3,3,2
1994,29,F,Married,1,Unknown,Other, Sales Executive ,3,11,11,4,1,1,5,3,14,8339.32,21682.23,100071.84,Part Time,Unknown,Yes,1,travel_frequently,No,2,3,4,4,3
1968,55,M,Single,3,Medical,Other, Manager ,5,37,36,4,13,0,2,3,14,15870.83,41264.17,190450.0,Full Time,Unknown,Yes,1,travel_rarely,No,4,3,1,3,3
1982,41,M,Unknown,4,Unknown,Other, Manager ,4,22,22,0,4,1,2,3,19,13345.83,34699.17,53914.11,Full Time,Unknown,Yes,10,non-travel,No,4,3,2,2,3
1984,39,M,Unknown,3,Unknown, Research & Development , Healthcare Representative ,3,19,18,3,7,0,5,3,17,8010.83,20828.17,96130.0,Part Time,No,No,1,travel_rarely,No,3,4,4,1,2
1985,38,M,Unknown,2,Life Sciences,Other, Research Director ,3,10,11,2,9,0,3,3,14,5564.165999999999,24938.33,115100.0,Full Time,Unknown,Yes,15,non-travel,No,3,2,4,2,3
1980,43,M,Unknown,3,Unknown,Other, Research Director ,4,25,25,3,9,1,3,3,11,12783.92,33238.2,153407.07,Full Time,No,Yes,12,non-travel,No,1,2,2,3,3
1992,31,F,Married,2,Unknown,Other, Manufacturing Director ,2,13,13,3,12,1,5,3,12,3588.33,9329.67,53914.11,Full Time,No,Yes,30,non-travel,No,2,3,1,2,1
1973,50,M,Married,4,Life Sciences, Research & Development , Manager ,4,28,27,15,7,0,2,3,15,14205.0,36933.0,170460.0,Full Time,No,Yes,27,travel_rarely,No,2,2,3,2,3
1988,35,M,Married,3,Technical Degree,Other, Manufacturing Director ,3,16,13,4,8,3,2,3,16,8339.32,21682.23,100071.84,Part Time,No,No,25,non-travel,No,4,2,2,1,3
1976,47,M,Unknown,4,Unknown,Other, Manufacturing Director ,2,20,19,2,7,1,3,3,19,4222.5,10978.5,53914.11,Full Time,Yes,Yes,16,non-travel,No,3,4,3,3,3
1988,35,F,Divorced,4,Unknown, Research & Development , Healthcare Representative ,3,16,16,10,1,1,3,3,11,8339.32,21682.23,100071.84,Part Time,Yes,Yes,25,non-travel,No,3,3,3,3,2
1983,40,M,Married,4,Unknown,Other, Healthcare Representative ,3,14,11,11,1,4,6,4,20,7225.166,21682.23,100071.84,Part Time,Unknown,Yes,20,travel_rarely,No,1,3,4,4,3
1978,45,F,Married,4,Life Sciences, Sales , Sales Executive ,2,15,15,4,12,1,2,3,13,4492.84,11681.39,53914.11,Part Time,Unknown,No,9,non-travel,No,2,2,3,4,3
1990,33,M,Married,3,Medical, Research & Development , Research Scientist ,1,15,14,4,10,0,5,3,13,4708.772,6090.75,28111.13,Full Time,Unknown,No,9,non-travel,No,1,3,4,2,3
1987,36,M,Married,3,Unknown,Other, Research Scientist ,1,12,11,0,7,1,2,3,12,3076.67,7999.33,36920.0,Full Time,No,No,3,travel_frequently,No,3,3,2,3,2
1978,45,F,Unknown,3,Marketing,Other, Manager ,5,26,24,1,11,2,2,3,16,15943.72,41453.67,191324.62,Full Time,Yes,Yes,13,non-travel,Yes,1,1,2,1,3
1972,51,M,Unknown,3,Unknown,Other, Manager ,5,31,29,11,10,4,5,3,24,14395.912,43001.83,198470.0,Full Time,Yes,No,27,travel_frequently,No,2,3,2,1,2
1989,34,M,Unknown,2,Technical Degree,Other, Sales Representative ,1,12,11,5,7,0,4,4,25,4353.468,5000.67,23080.0,Part Time,Yes,No,7,travel_rarely,No,2,3,3,2,3
1980,43,M,Unknown,2,Unknown, Research & Development , Research Director ,4,11,14,6,11,1,3,4,24,6242.9800000000005,33238.2,153407.07,Full Time,No,Yes,15,travel_rarely,No,3,2,3,1,3
1989,34,M,Unknown,2,Medical,Other, Laboratory Technician ,2,15,15,4,13,1,3,3,14,4492.84,11681.39,53914.11,Part Time,No,No,5,non-travel,No,2,2,4,3,3
1985,38,M,Divorced,3,Unknown,Other, Human Resources ,1,13,11,3,8,5,3,3,13,2342.59,6090.75,28111.13,Part Time,No,Yes,2,non-travel,No,1,3,2,4,3
1975,48,M,Unknown,3,Unknown,Other, Research Director ,5,29,22,12,9,4,3,3,12,12133.698,41453.67,191324.62,Full Time,No,No,10,non-travel,No,4,2,2,4,3
1989,34,M,Married,4,Other, Research & Development , Research Scientist ,2,16,15,6,11,1,3,3,15,4789.17,12451.83,57470.0,Full Time,Yes,No,22,non-travel,No,3,2,4,2,3
1991,32,F,Unknown,4,Unknown,Other, Sales Executive ,3,14,14,5,7,1,3,3,19,8685.0,22581.0,104220.0,Full Time,No,Yes,31,travel_rarely,No,3,3,4,3,3
1994,29,F,Divorced,4,Life Sciences,Other, Manufacturing Director ,3,10,10,8,8,1,1,3,11,8339.32,21682.23,53914.11,Full Time,No,No,21,travel_rarely,No,2,4,1,3,3
1977,46,M,Married,3,Medical,Other, Healthcare Representative ,3,21,10,9,5,2,5,3,13,6375.592,21682.23,100071.84,Full Time,Yes,No,1,non-travel,No,3,2,1,3,2
1993,30,M,Married,3,Unknown, Human Resources , Human Resources ,2,12,11,4,7,0,2,3,19,5289.17,13751.83,63470.0,Full Time,Yes,No,9,non-travel,No,3,3,4,4,1
1978,45,M,Unknown,3,Life Sciences,Other, Laboratory Technician ,2,20,17,0,15,8,2,3,18,1956.67,5087.33,23480.0,Part Time,No,Yes,9,non-travel,No,2,3,2,3,3
1993,30,F,Unknown,3,Unknown,Other, Sales Executive ,3,10,10,7,4,2,2,3,12,8339.32,21682.23,100071.84,Part Time,No,Yes,5,travel_rarely,No,2,3,4,3,3
1993,30,M,Unknown,3,Unknown,Other, Laboratory Technician ,2,12,12,6,10,1,4,3,11,3869.186,6656.0,30720.0,Part Time,No,Yes,9,non-travel,No,3,3,1,3,3
1989,34,M,Married,1,Unknown,Other, Manufacturing Director ,2,10,10,1,9,1,2,3,17,4492.84,11681.39,53914.11,Full Time,Unknown,No,29,travel_frequently,No,4,2,3,3,2
1972,51,M,Married,4,Life Sciences,Other, Research Director ,3,16,10,4,7,5,5,3,16,10408.33,27061.67,124900.0,Full Time,No,No,8,travel_rarely,No,2,2,2,4,1
1989,34,M,Unknown,4,Life Sciences,Other, Manufacturing Director ,2,13,11,5,9,6,3,3,13,4492.84,11681.39,53914.11,Part Time,Unknown,Yes,39,non-travel,No,3,2,1,2,3
1988,35,M,Married,3,Unknown,Other, Sales Executive ,3,12,11,6,9,0,3,3,15,6683.33,17376.67,80200.0,Part Time,Unknown,Yes,16,travel_rarely,No,3,3,2,3,2
1978,45,M,Unknown,3,Life Sciences,Other, Laboratory Technician ,3,24,24,9,11,1,2,3,18,8339.32,21682.23,100071.84,Part Time,Unknown,Yes,7,travel_frequently,No,1,3,1,1,3
1984,39,M,Married,1,Unknown,Other, Manager ,4,21,21,11,10,1,3,3,14,12763.498,36980.67,170680.0,Full Time,Unknown,Yes,10,non-travel,No,3,3,1,4,3
1992,31,F,Married,2,Unknown,Other, Manufacturing Director ,3,10,10,8,9,1,2,4,24,7452.5,19376.5,89430.0,Part Time,No,No,7,non-travel,No,3,2,3,1,3
1984,39,M,Married,2,Unknown, Research & Development , Manager ,5,21,21,13,3,1,2,3,15,16060.0,41756.0,192720.0,Full Time,Unknown,Yes,7,non-travel,No,3,2,4,1,3
1978,45,M,Unknown,4,Unknown,Other, Research Scientist ,2,12,10,9,8,9,3,3,14,4492.84,11681.39,53914.11,Part Time,No,Yes,8,travel_rarely,No,4,3,4,1,3
1993,30,F,Unknown,3,Marketing, Sales , Sales Executive ,2,10,10,1,2,1,2,3,13,4492.84,11681.39,53914.11,Full Time,Unknown,Yes,5,travel_rarely,No,4,2,3,3,3
1992,31,F,Unknown,4,Medical,Other, Manufacturing Director ,3,11,11,4,10,1,2,3,14,8339.32,21682.23,100071.84,Part Time,Unknown,No,7,non-travel,No,3,3,4,3,2
1987,36,M,Married,4,Medical,Other, Sales Executive ,3,16,13,1,12,4,2,3,11,8339.32,21682.23,100071.84,Part Time,No,Yes,3,non-travel,No,1,2,4,1,3
1987,36,M,Married,2,Unknown,Other, Sales Executive ,3,10,10,9,0,1,2,3,13,5684.6,21682.23,100071.84,Part Time,Unknown,Yes,2,travel_rarely,No,2,2,3,2,3
1968,55,F,Single,5,Unknown,Other, Manager ,4,37,10,7,7,3,2,4,23,12783.92,33238.2,153407.07,Full Time,No,Yes,18,travel_rarely,No,1,3,2,4,3
1988,35,M,Unknown,3,Unknown,Other, Sales Executive ,2,15,11,6,9,9,2,3,11,4492.84,11681.39,53914.11,Part Time,Unknown,Yes,1,non-travel,No,2,3,3,3,3
1981,42,M,Married,3,Medical,Other, Manufacturing Director ,3,10,10,5,8,1,5,4,21,8339.32,21682.23,100071.84,Part Time,Unknown,No,24,travel_rarely,No,4,3,1,4,2
1971,52,M,Divorced,2,Unknown,Other, Research Scientist ,2,18,10,6,9,3,3,3,12,4647.5,12083.5,55770.0,Full Time,Yes,Yes,6,travel_rarely,No,4,3,1,2,3
1974,49,M,Unknown,4,Life Sciences,Other, Research Director ,5,33,31,0,9,1,5,3,17,12345.284,41453.67,191324.62,Full Time,Yes,Yes,18,non-travel,No,4,2,3,3,3
1989,34,M,Married,5,Unknown, Research & Development , Research Scientist ,1,10,10,8,8,1,4,3,12,2242.5,5830.5,26910.0,Part Time,No,Yes,1,travel_rarely,No,2,3,4,4,2
1990,33,M,Single,4,Other,Other, Research Scientist ,1,10,10,7,8,1,2,3,13,2342.59,6090.75,28111.13,Part Time,Unknown,No,1,travel_rarely,Yes,4,3,4,3,2
1990,33,M,Married,3,Medical, Research & Development , Research Director ,3,14,13,3,7,0,3,3,11,8339.32,21682.23,53914.11,Full Time,No,Yes,7,non-travel,No,3,3,3,4,4
1970,53,F,Unknown,4,Unknown,Other, Research Director ,4,33,12,3,8,6,0,3,18,12783.92,33238.2,153407.07,Full Time,No,Yes,23,travel_rarely,No,4,3,4,3,3
1974,49,F,Married,2,Other,Other, Laboratory Technician ,3,29,26,1,7,4,3,3,11,6169.17,16039.83,74030.0,Part Time,Unknown,No,8,travel_rarely,No,1,3,2,3,2
1988,35,M,Unknown,4,Unknown,Other, Sales Executive ,3,13,10,0,8,6,2,3,13,3976.97,21682.23,100071.84,Part Time,Unknown,No,21,non-travel,No,2,3,4,2,3
1985,38,F,Married,1,Life Sciences,Other, Healthcare Representative ,3,20,19,1,9,0,4,3,18,7352.5,19116.5,88230.0,Part Time,Unknown,No,17,travel_rarely,No,3,2,3,1,2
1977,46,M,Married,1,Marketing, Sales , Manager ,4,16,12,4,9,3,3,3,12,12783.92,33238.2,153407.07,Full Time,No,No,3,non-travel,No,1,3,3,4,3
1987,36,M,Single,4,Unknown,Other, Manufacturing Director ,2,18,11,0,9,2,0,4,20,4492.84,11681.39,53914.11,Part Time,Unknown,No,18,non-travel,No,1,3,4,1,3
1981,42,M,Single,3,Life Sciences,Other, Sales Executive ,4,21,21,13,14,0,2,3,12,12949.194,33238.2,153407.07,Full Time,Unknown,Yes,15,travel_frequently,Yes,1,3,1,2,2
1989,34,M,Single,3,Unknown,Other, Healthcare Representative ,2,14,13,4,9,0,3,4,20,4492.84,11681.39,53914.11,Full Time,No,Yes,1,travel_frequently,No,4,2,1,3,3
1993,30,M,Unknown,3,Medical, Research & Development , Research Scientist ,1,12,11,5,7,0,2,4,21,2982.5,7754.5,35790.0,Full Time,Yes,Yes,1,travel_rarely,No,4,3,2,1,3
